Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
99,1786655090345,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,9.523809432983398,0,5,5,0,15.789472579956055,5,0,197627.7208251953,44788.504943847656,18700.44268798828,8095244288,4294963200,6291902464,3531546624
99,1786655090445,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,9.523809432983398,0,5,5,0,15.789472579956055,5,0,197628.4296875,44788.88934326172,18700.44464111328,8095244288,4294963200,6291902464,3531546624
99,1786655090545,1299,741,1300,1300,1300,1300,1299,1299,55,65,65,55.55555725097656,52.6315803527832,61.904762268066406,68.42105102539063,70,0,197628.99377441406,44789.12969970703,18700.44549560547,8095244288,4294963200,6287466496,3531546624
99,1786655090645,1299,741,1300,1300,1300,1300,1299,1299,55,65,65,55.55555725097656,52.6315803527832,61.904762268066406,68.42105102539063,70,0,197629.34912109375,44789.181579589844,18700.445739746094,8095244288,4294963200,6286643200,3531546624
99,1786655090745,1299,741,1300,1300,1300,1300,1299,1299,10,0,9.523809432983398,10.526315689086914,9.523809432983398,5.263157844543457,15.000000953674316,10.526315689086914,0,197629.76788330078,44789.290466308594,18700.446838378906,8095244288,4294963200,6286888960,3531546624
99,1786655090845,1299,741,1300,1300,1300,1300,1299,1299,10,0,9.523809432983398,10.526315689086914,9.523809432983398,5.263157844543457,15.000000953674316,10.526315689086914,0,197630.19244384766,44789.406677246094,18700.446838378906,8095244288,4294963200,6286888960,3531546624
99,1786655090945,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,9.523809432983398,5,5,0,10,19.047618865966797,14.285715103149414,0,197630.54327392578,44789.455505371094,18700.447265625,8095244288,4294963200,6286888960,3531546624
99,1786655091045,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,9.523809432983398,5,5,0,10,19.047618865966797,14.285715103149414,0,197630.94451904297,44789.55114746094,18700.447509765625,8095244288,4294963200,6287147008,3531546624
99,1786655091145,1299,741,1300,1300,1300,1300,1299,1299,10,10,0,10,5.263157844543457,5.263157844543457,78.94737243652344,10.526315689086914,0,197631.4404296875,44789.73645019531,18700.447509765625,8095244288,4294963200,6287081472,3531542528
99,1786655091246,1299,741,1300,1300,1300,1300,1299,1299,10,10,0,10,5.263157844543457,5.263157844543457,78.94737243652344,10.526315689086914,0,197631.82458496094,44789.813049316406,18700.447509765625,8095244288,4294963200,6287081472,3531542528
99,1786655091346,1299,741,1300,1300,1300,1300,1299,1299,9.523809432983398,0,5,0,0,5.263157844543457,10.526315689086914,5.263157844543457,0,197632.16674804688,44789.85382080078,18700.447692871094,8095244288,4294963200,6287081472,3531542528
99,1786655091446,1299,741,1300,1300,1300,1300,1299,1299,9.523809432983398,0,5,0,0,5.263157844543457,10.526315689086914,5.263157844543457,0,197632.55548095703,44789.9306640625,18700.448791503906,8095244288,4294963200,6287605760,3531542528
99,1786655091546,1299,741,1300,1300,1300,1300,1299,1299,0,9.523809432983398,5,9.523809432983398,10,9.523809432983398,15.000000953674316,5.263157844543457,0,197632.9037475586,44789.97967529297,18700.448852539063,8095244288,4294963200,6287851520,3531542528
99,1786655091646,1299,741,1300,1300,1300,1300,1299,1299,0,9.523809432983398,5,9.523809432983398,10,9.523809432983398,15.000000953674316,5.263157844543457,0,197633.25421142578,44790.02410888672,18700.448852539063,8095244288,4294963200,6287847424,3531542528
99,1786655091746,1299,741,1300,1300,1300,1300,1299,1299,5,5,0,0,0,5,10,9.523809432983398,0,197633.60943603516,44790.07189941406,18700.449340820313,8095244288,4294963200,6287847424,3531542528
